stamp,dx,dy,dz,axis_x,axis_y,axis_z,theta_rad
1642400940.992776338,,,,,,,
1642400941.458734222,,,,,,,
1642400941.973403357,,,,,,,
1642400942.654815783,,,,,,,
1642400943.175029901,,,,,,,
1642400943.569258608,,,,,,,
1642400944.181123363,,,,,,,
1642400944.681633303,,,,,,,
1642400945.465230450,,,,,,,
1642400945.995210447,,,,,,,
1642400946.453370066,,,,,,,
1642400946.889489567,,,,,,,
1642400947.397686858,,,,,,,
1642400948.021826108,,,,,,,
1642400948.527033944,,,,,,,
1642400949.043884618,,,,,,,
1642400949.508679347,,,,,,,
1642400949.940773474,,,,,,,
1642400950.265566736,,,,,,,
1642400950.764200103,,,,,,,
1642400951.255766320,,,,,,,
1642400951.833844279,,,,,,,
1642400952.232463934,,,,,,,
1642400952.963276743,,,,,,,
1642400953.473199661,,,,,,,
1642400953.895029180,,,,,,,
1642400954.358284462,,,,,,,
1642400954.896216582,,,,,,,
1642400955.483381210,,,,,,,
1642400955.991678631,,,,,,,
1642400956.602275718,,,,,,,
1642400957.102025518,,,,,,,
1642400957.499418979,,,,,,,
1642400958.522145691,,,,,,,
1642400959.690002623,,,,,,,
1642400960.134610383,,,,,,,
1642400960.615812504,,,,,,,
1642400961.096342806,,,,,,,
1642400961.597023244,,,,,,,
1642400962.085727113,,,,,,,
1642400962.614357617,,,,,,,
1642400963.018135048,,,,,,,
1642400963.500170014,,,,,,,
1642400963.926250095,,,,,,,
1642400964.392957238,,,,,,,
1642400964.817006152,,,,,,,
1642400965.592018846,,,,,,,
1642400966.025408001,,,,,,,
1642400966.466787487,,,,,,,
1642400967.031907837,,,,,,,
1642400967.627248784,,,,,,,
1642400968.122661045,,,,,,,
1642400968.646025611,,,,,,,
1642400969.190279302,,,,,,,
1642400969.562530644,,,,,,,
1642400970.357724259,,,,,,,
1642400971.000582679,,,,,,,
1642400971.528949115,,,,,,,
1642400972.023438577,,,,,,,
1642400972.966197073,,,,,,,
1642400973.433430049,,,,,,,
1642400973.959598115,,,,,,,
1642400974.392341371,,,,,,,
1642400974.825282519,,,,,,,
1642400975.070342161,,,,,,,
1642400975.940627596,,,,,,,
1642400976.518558897,,,,,,,
1642400976.922540940,,,,,,,
1642400977.404145050,,,,,,,
1642400977.930766819,,,,,,,
1642400978.428413579,,,,,,,
1642400978.970515108,,,,,,,
1642400979.839095621,,,,,,,
1642400980.696793597,,,,,,,
1642400981.164431667,,,,,,,
1642400981.766525903,,,,,,,
1642400982.265810320,,,,,,,
1642400982.826056578,,,,,,,
1642400983.235219437,,,,,,,
1642400984.229750224,,,,,,,
1642400984.928699722,,,,,,,
1642400985.435908102,,,,,,,
1642400985.991111242,,,,,,,
1642400986.522427548,,,,,,,
1642400987.004590227,,,,,,,
1642400987.499425007,,,,,,,
1642400987.959408494,,,,,,,
1642400988.571786953,,,,,,,
1642400989.031048093,,,,,,,
1642400989.432670003,,,,,,,
1642400989.809462248,,,,,,,
1642400990.423578174,,,,,,,
1642400991.321123680,,,,,,,
1642400991.909461895,,,,,,,
1642400992.345239982,,,,,,,
1642400992.905508769,,,,,,,
1642400993.302881205,,,,,,,
1642400993.702419819,,,,,,,
1642400994.187546864,,,,,,,
1642400994.648962405,,,,,,,
1642400995.207658144,,,,,,,
1642400995.569508941,,,,,,,
1642400995.980724536,,,,,,,
1642400996.559565450,,,,,,,
1642400997.208390907,,,,,,,
1642400998.181090827,,,,,,,
1642400998.626519913,,,,,,,
1642400999.047847632,,,,,,,
1642400999.549177809,,,,,,,
1642401000.008853547,,,,,,,
1642401000.334175682,,,,,,,
1642401000.987173843,,,,,,,
1642401001.420127823,,,,,,,
1642401001.852202621,,,,,,,
1642401002.346310286,,,,,,,
1642401002.716292281,,,,,,,
1642401003.118839549,,,,,,,
1642401003.415588408,,,,,,,
1642401003.782047341,,,,,,,
1642401004.181294654,,,,,,,
1642401004.588390057,,,,,,,
1642401004.904875766,,,,,,,
1642401005.269615408,,,,,,,
1642401005.675012928,,,,,,,
1642401006.040760457,,,,,,,
1642401006.469965675,,,,,,,
1642401007.019133202,,,,,,,
1642401007.456342576,,,,,,,
1642401007.910685272,,,,,,,
1642401008.344221308,,,,,,,
1642401008.824232978,,,,,,,
1642401009.273701774,,,,,,,
1642401009.717611540,,,,,,,
1642401010.478999735,,,,,,,
1642401010.965354319,,,,,,,
1642401011.381640232,,,,,,,
1642401011.914231854,,,,,,,
1642401012.752118643,,,,,,,
1642401013.481385251,,,,,,,
1642401013.925595886,,,,,,,
1642401014.407284094,,,,,,,
1642401015.301059238,,,,,,,
1642401015.753563665,,,,,,,
1642401016.073350194,,,,,,,
1642401016.808792610,,,,,,,
1642401017.353585669,,,,,,,
1642401017.977496883,,,,,,,
1642401018.756962414,,,,,,,
1642401019.414322562,,,,,,,
1642401019.943198254,,,,,,,
1642401020.589757724,,,,,,,
1642401021.083111904,,,,,,,
1642401021.577994941,,,,,,,
1642401022.153501212,,,,,,,
1642401022.751224116,,,,,,,
1642401023.307170980,,,,,,,
1642401023.851129818,,,,,,,
1642401024.284991524,,,,,,,
1642401024.810946562,,,,,,,
1642401025.393136041,,,,,,,
1642401026.109399215,,,,,,,
1642401026.505175435,,,,,,,
1642401027.084973356,,,,,,,
1642401027.510514965,,,,,,,
1642401028.041889224,,,,,,,
1642401028.686210227,,,,,,,
1642401029.214129136,,,,,,,
1642401029.764884079,,,,,,,
1642401030.333263776,,,,,,,
1642401030.841809712,,,,,,,
1642401031.511712007,,,,,,,
1642401032.008635780,,,,,,,
1642401032.395395987,,,,,,,
1642401033.015037631,,,,,,,
1642401033.664142164,,,,,,,
1642401034.309982294,,,,,,,
1642401034.870943923,,,,,,,
1642401035.637666633,,,,,,,
1642401036.278695072,,,,,,,
1642401036.773263768,,,,,,,
1642401037.351347295,,,,,,,
1642401037.893622715,,,,,,,
1642401038.342167337,,,,,,,
1642401038.649707339,,,,,,,
1642401039.177140513,,,,,,,
1642401039.349981050,,,,,,,
1642401040.565284573,,,,,,,
1642401041.155622306,,,,,,,
1642401042.446706270,,,,,,,
1642401043.513723781,,,,,,,
1642401043.973499425,,,,,,,
1642401044.380732878,,,,,,,
1642401044.823158909,,,,,,,
1642401045.273860300,,,,,,,
1642401045.671332866,,,,,,,
1642401046.185998513,,,,,,,
1642401046.719440516,,,,,,,
1642401047.081079405,,,,,,,
1642401047.597767836,,,,,,,
1642401048.012486685,,,,,,,
1642401048.470671297,,,,,,,
1642401048.918293824,,,,,,,
1642401049.514335102,,,,,,,
1642401049.952247239,,,,,,,
1642401050.440788993,,,,,,,
1642401051.016377761,,,,,,,
1642401051.553140743,,,,,,,
1642401052.119875102,,,,,,,
1642401052.649683801,,,,,,,
1642401053.209458148,,,,,,,
1642401053.608411696,-0.2862043825,-2.681598623,3.787154117,0.6542619851,0.119155031,-0.7468221565,0.04933347185
1642401054.075235610,,,,,,,
1642401054.649420676,,,,,,,
1642401055.173958541,,,,,,,
1642401055.816088726,-0.2861022594,-2.683055703,3.765053018,0.7026123675,0.1847037286,-0.6871829405,0.04855330331
1642401056.377177557,-0.2896306918,-2.679137052,3.764960744,0.681073051,0.3081425823,-0.6642195783,0.1053191087
1642401056.810078256,,,,,,,
1642401057.526367959,,,,,,,
1642401057.991366852,,,,,,,
1642401058.345200085,,,,,,,
1642401059.002043650,,,,,,,
1642401059.450005414,,,,,,,
1642401060.014290296,,,,,,,
1642401060.407528747,-0.2859811314,-3.011087303,3.548527808,0.6848312827,0.3833566612,-0.6197126628,0.1379257623
1642401060.870639515,-0.2854529326,-3.004288863,3.551265037,0.8685573624,0.2815865187,-0.4078199856,0.1570130444
1642401061.409104028,-0.2861176033,-3.001253408,3.560338557,0.8831489601,0.2759744987,-0.3793230686,0.1728861575
1642401061.999777766,-0.2797910947,-3.09746404,3.490923796,0.7036714413,0.3102507904,-0.6392111934,0.05958010503
1642401062.562108985,-0.2810595112,-3.097678835,3.516641932,0.6743205998,0.3497584981,-0.6503543047,0.06266209438
1642401063.078099453,-0.279815279,-3.090587056,3.509745097,0.7476373496,0.2694742272,-0.6069777873,0.0580765122
1642401063.816617533,-0.2819026571,-3.08437742,3.514393253,0.7531343516,0.2730262009,-0.598535999,0.05947887352
1642401064.281440039,-0.2802696497,-3.084015878,3.512416409,0.7659646206,0.2520573029,-0.5914096009,0.05787249805
1642401064.774124161,-0.2779162045,-3.080821277,3.502890407,0.8012894785,0.2225452332,-0.5553456499,0.05510028336
1642401065.394164627,-0.2789133499,-3.075136319,3.49781801,0.7046042212,0.3451363717,-0.62001111,0.08815391461
1642401066.005292411,-0.2797425185,-3.05856452,3.51666014,0.85121813,0.2698380512,-0.4501278943,0.159653052
1642401066.627243979,,,,,,,
1642401067.780925043,,,,,,,
1642401068.213544073,,,,,,,
1642401068.542987040,,,,,,,
1642401069.013117084,,,,,,,
1642401069.515438476,,,,,,,
1642401070.184675065,,,,,,,
1642401070.618153021,,,,,,,
1642401071.238074349,,,,,,,
1642401071.614393147,,,,,,,
1642401072.159798471,,,,,,,
1642401072.584650949,-0.2740550391,-3.413261406,3.283909189,0.7802116465,0.2985494232,-0.5496708365,0.06060533809
1642401073.079624323,-0.2731473802,-3.460929277,3.255067677,0.7420433476,0.3157529608,-0.5913304812,0.05633218574
1642401073.553450905,-0.2732876192,-3.430146225,3.269782936,0.8094563615,0.2424117951,-0.5348054977,0.05391110794
1642401074.071984069,-0.2742369531,-3.423270322,3.280623079,0.7832524281,0.2666646537,-0.5616098257,0.05853422418
1642401074.657756515,-0.2733016354,-3.418130799,3.266325136,0.7769995324,0.335430322,-0.5326896148,0.05683309471
1642401075.115987527,-0.273636077,-3.415433324,3.250184066,0.7423474034,0.3420257895,-0.5761412083,0.05570288843
1642401075.650694925,-0.2769278636,-3.412842771,3.277701923,0.7543865825,0.3748105936,-0.5389043544,0.06129777486
1642401076.068929125,-0.2756080797,-3.406411503,3.253007922,0.7495984412,0.352540245,-0.5601942098,0.05870679827
1642401076.711791545,-0.2763894882,-3.410776464,3.250359696,0.7748091545,0.2699394911,-0.5716672504,0.05372037193
1642401077.721786956,-0.2783800417,-3.405703659,3.244936419,0.8369318906,0.3047830595,-0.454590252,0.06308480628
1642401078.117650792,,,,,,,
1642401078.524386030,,,,,,,
1642401079.049669986,,,,,,,
1642401079.671671762,,,,,,,
1642401080.251509013,-0.2806695523,-3.527810392,3.147291298,0.8330018515,0.2570433286,-0.4899353454,0.07209452877
1642401080.868578713,-0.28028448,-3.491773279,3.142459607,0.9310858766,0.21828194,-0.2922876751,0.1913368562
1642401081.388043122,-0.2746734833,-3.641917438,3.037967193,0.8235251537,0.1855084809,-0.5360904072,0.05283259017
1642401082.069215641,-0.2755764256,-3.641455507,3.050374366,0.8505730557,0.1945749978,-0.4885345916,0.05744660836
1642401082.582324016,-0.2757218105,-3.552480173,3.10812171,0.8513633482,0.2679512439,-0.4509795784,0.06670745173
1642401083.173953993,-0.2769439888,-3.553259069,3.129221958,0.8767633684,0.214132161,-0.4306198016,0.06578659953
1642401083.682439033,,,,,,,
1642401084.185870394,,,,,,,
1642401084.687104473,,,,,,,
1642401085.016735090,,,,,,,
1642401085.580022644,-0.2762092381,-3.540488049,3.134216386,0.813035815,0.3141855692,-0.4901634335,0.07970883048
1642401085.942477770,-0.2738970556,-3.552469828,3.120170696,0.8589262875,0.1759309683,-0.4809302725,0.06209498936
1642401086.472616746,-0.2746313508,-3.584049807,3.111606958,0.8576996778,0.1983988488,-0.474330222,0.0657148406
1642401086.985289114,-0.2699941753,-3.714830995,2.980523629,0.7562042592,0.3474765437,-0.5544503314,0.05223398009
1642401087.678909217,-0.2686656999,-3.716718712,2.98467026,0.7712703391,0.3609093508,-0.5242961993,0.05441583037
1642401088.150935899,,,,,,,
1642401088.683469568,,,,,,,
1642401089.109351534,,,,,,,
1642401089.445207304,-0.2625951069,-3.891583526,2.800076802,0.7433230642,0.323678752,-0.5854083086,0.04364391389
1642401089.716929023,-0.2521272588,-4.181020772,2.476900397,0.2269744943,0.5289982511,-0.8177061998,0.02778809548
1642401090.183904139,,,,,,,
1642401090.880835941,,,,,,,
1642401091.457299315,,,,,,,
1642401091.918538822,,,,,,,
1642401092.437868158,,,,,,,
1642401092.949876804,-0.2488172814,-4.254310353,2.389570625,0.2036318041,0.556256023,-0.8056756948,0.03093509478
1642401093.544813745,-0.2497945287,-4.255611958,2.371021295,0.3009639246,0.5243886382,-0.7965157075,0.02761461566
1642401094.091860598,-0.2491591184,-4.253332035,2.362698521,0.4015232599,0.3722933261,-0.8367656489,0.02677348909
1642401094.814448671,-0.2506770898,-4.25818138,2.36827637,0.5751799245,0.5048510414,-0.6436563372,0.03072844433
1642401095.384422312,-0.2406541522,-4.329670899,2.148950618,-0.7232734199,-0.6645113745,0.1878834567,0.0543377064
1642401095.688814714,,,,,,,
1642401096.187009674,,,,,,,
1642401096.946782483,-0.2591771847,-4.136477098,2.505356681,0.7140497913,0.4176463239,-0.5618758259,0.03850926474
1642401097.399077819,-0.2574418088,-4.219587721,2.407818734,0.6153945245,0.3569808259,-0.7027476568,0.03358202027
1642401098.032450396,-0.2637178631,-3.997786611,2.669500321,0.7834338935,0.3329177162,-0.5247829349,0.05025697951
1642401098.584836213,-0.2675188038,-3.870970913,2.803189991,0.7895372445,0.3755659059,-0.4853670672,0.0609882543
1642401099.045531839,-0.2705005249,-3.795696192,2.871439602,0.890560734,0.178540921,-0.4183595567,0.06394091712
1642401099.476890626,-0.2695969517,-3.797491983,2.858791003,0.8540368442,0.2933739535,-0.4295960802,0.06852216875
1642401100.340801947,-0.2708267443,-3.747541438,2.905557044,0.8935767534,0.2452318771,-0.3760078619,0.07030309805
1642401100.710275198,-0.2711517104,-3.749723525,2.904716442,0.9057013759,0.203118297,-0.372085978,0.06573276703
1642401101.236420224,-0.2697873074,-3.748154183,2.89956115,0.86233111,0.2545406764,-0.437714634,0.06958144692
1642401101.885547829,-0.2704521006,-3.74861335,2.916725111,0.8960961981,0.2012096285,-0.3956340344,0.06793927103
1642401102.620705793,-0.2713166176,-3.75301527,2.921781273,0.8646964186,0.2861699537,-0.4128036595,0.06994943535
1642401103.209033351,-0.2706985672,-3.749184159,2.907355252,0.8711936769,0.2498405952,-0.4226124162,0.06983856229
1642401103.876915039,,,,,,,
1642401104.310728872,,,,,,,
1642401104.885068149,,,,,,,
1642401105.279025620,,,,,,,
1642401105.925401951,,,,,,,
1642401106.479546002,-0.2605086618,-3.881884945,2.747848013,0.8610612973,0.3241595479,-0.3917831412,0.0725431624
1642401106.964199056,-0.2531324156,-4.137323211,2.493163031,0.7157872871,0.448662625,-0.5351171913,0.04979313719
1642401107.518345988,-0.2535700857,-4.040539289,2.586181131,0.6954149338,0.4729709259,-0.5410143927,0.0549186416
1642401107.945501670,-0.2519841912,-4.045028601,2.581941338,0.7562454624,0.4174892668,-0.5037812151,0.05536045374
1642401108.843624850,-0.2548138017,-3.965017424,2.662325428,0.8246517349,0.3494471878,-0.4447877911,0.05168410865
1642401109.405907460,-0.2556328699,-3.965610611,2.677689962,0.8157354961,0.2862993636,-0.5026015069,0.05692618967
1642401110.119747877,-0.2555120436,-3.909511518,2.719340905,0.8632996697,0.2999607191,-0.4058783653,0.06116658242
1642401110.651456412,-0.2570762416,-3.911851327,2.758687582,0.8595836037,0.3133675133,-0.40362957,0.06761490466
1642401111.171127098,-0.2570229395,-3.852796589,2.796768927,0.8976638849,0.2358109685,-0.3722804546,0.07005923866
1642401111.576438153,-0.2567499586,-3.853505703,2.803392486,0.9239259864,0.1622131833,-0.3464789384,0.06817169032
1642401112.564745003,-0.2549876137,-3.850362925,2.796254476,0.868769784,0.3069511674,-0.3886129736,0.07252834989
1642401113.239956629,-0.2595573453,-3.844720204,2.819474627,0.8808139682,0.2622941384,-0.39416816,0.07510776647
1642401113.478888367,-0.2589218582,-3.846403951,2.80373252,0.8718973773,0.2629350189,-0.4131103234,0.07314292803
1642401114.387065303,-0.2581607674,-3.844545962,2.801390721,0.8876371818,0.2299227569,-0.3990435557,0.06887649882
1642401114.920796430,-0.2594971537,-3.843749017,2.802761383,0.8780413561,0.2808386122,-0.3875216779,0.07658014584
1642401115.464667778,-0.2601660131,-3.845635629,2.811914621,0.8529734941,0.2927615494,-0.4321190733,0.07351000723
1642401116.042038398,-0.2598764469,-3.845791524,2.793298925,0.8387110529,0.3506048607,-0.4167013336,0.06899095186
1642401116.711161162,-0.2617036162,-3.847251011,2.794514659,0.8232931753,0.3474437565,-0.4488554149,0.0749530445
1642401117.320973277,-0.26207558,-3.844858906,2.793819066,0.7952567413,0.395525608,-0.4594847211,0.07550141799
1642401117.786698069,-0.2607339771,-3.844146771,2.793531319,0.8604473671,0.3290542689,-0.3890419215,0.07416715218
1642401118.484124888,-0.2616390238,-3.842164049,2.813132028,0.8147479207,0.380686639,-0.4373368366,0.09744801818
1642401119.016295831,-0.2601210628,-3.843287338,2.798727039,0.7726938692,0.4321116675,-0.4649985928,0.1090557784
1642401119.490822072,-0.2601673356,-3.842048285,2.803520205,0.8398136383,0.3341303989,-0.4278667193,0.09258981563
1642401120.098160580,-0.2597811588,-3.823803065,2.811387975,-0.9960370997,-0.003671962588,-0.08886288694,1.088734175
1642401120.902918696,,,,,,,
1642401121.515100640,,,,,,,
1642401122.084340510,,,,,,,
1642401122.686797087,,,,,,,
1642401123.249515992,,,,,,,
1642401123.817120636,,,,,,,
1642401124.347165114,,,,,,,
1642401124.895282961,,,,,,,
1642401125.318663896,,,,,,,
1642401125.820648355,,,,,,,
1642401126.280274397,,,,,,,
1642401126.731376914,,,,,,,
1642401127.607082178,,,,,,,
1642401128.086666577,,,,,,,
1642401128.488812399,,,,,,,
1642401128.921252995,,,,,,,
1642401129.384741881,,,,,,,
1642401129.883840439,-0.2588326842,-4.159081707,2.357931894,0.8003637016,0.4442788522,-0.402534777,0.07998989296
1642401130.406302239,-0.2598143774,-4.162027768,2.361926497,0.8330785004,0.3916664249,-0.3906118582,0.065147044
1642401131.051290932,-0.2605737342,-4.165982999,2.360051903,0.805270924,0.3979102139,-0.439552273,0.0700684149
1642401131.540396631,-0.2606973092,-4.164253639,2.353351546,0.8743598766,0.2877640494,-0.3907514019,0.06429461235
1642401132.087594335,-0.2648839326,-4.165417087,2.394223459,0.8673100417,0.3413801356,-0.3622608101,0.07848604217
1642401132.617438458,-0.262238169,-4.160544803,2.369553337,0.8582527958,0.3132564828,-0.4065372239,0.071440669
1642401133.053901868,-0.2619609438,-4.156431198,2.382654695,0.8753099843,0.3231716824,-0.3597116834,0.07613701707
1642401133.603541210,-0.2589137996,-4.159582412,2.354327955,0.9013807371,0.3012353879,-0.3110787808,0.08725154326
1642401134.094366616,-0.259420962,-4.157995596,2.350566209,0.9354395831,0.2268246801,-0.2711150142,0.08654041353
1642401134.517855137,-0.2597678683,-4.162363517,2.347427987,0.9356896343,0.2333695496,-0.2646196545,0.09212355092
1642401134.908096710,-0.2584727902,-4.167032537,2.340534426,0.9282301431,0.240269746,-0.2840057227,0.08633251745
1642401135.574571464,-0.256363999,-4.166928055,2.340432808,0.9346959214,0.2326653662,-0.2687198575,0.08830981476
1642401136.165732218,-0.2558145248,-4.168389245,2.326378394,0.9129196137,0.2924590142,-0.2846849204,0.08531688817
1642401136.698144509,-0.2581821848,-4.162844192,2.362598709,0.9418551059,0.2011635053,-0.2691508938,0.08717061691
1642401137.186939003,-0.2561074464,-4.16873816,2.331171959,0.925524741,0.2538847052,-0.2809742163,0.09096497458
1642401137.750857991,-0.2564296664,-4.170938264,2.337013585,0.8861088753,0.3438974838,-0.3107178492,0.09752121317
1642401138.150737826,-0.2421624157,-4.395762683,1.949479193,0.9216087907,0.2524055697,-0.2948366755,0.06327720762
1642401138.563562277,-0.2370862857,-4.512030002,1.781275646,0.8319618594,0.3578833458,-0.4239799232,0.04176443628
1642401139.086666168,-0.2395700561,-4.478317082,1.846563702,0.7837168785,0.368413847,-0.5000590882,0.04190582446
1642401139.575794107,-0.2367665021,-4.470700728,1.839815181,0.77403905,0.5074320245,-0.3786506168,0.05236236827
1642401140.159514713,-0.2351062739,-4.482494567,1.805227315,0.7552621347,0.5218725918,-0.3965199941,0.05115327946
1642401140.517491082,-0.2352814878,-4.498988256,1.800371307,0.782985481,0.4957177535,-0.3757627515,0.0484856069
1642401141.143900831,-0.2345985613,-4.495827016,1.795167402,0.7208180189,0.5410994078,-0.4331660357,0.05657939997
1642401141.878033979,-0.2392022057,-4.458750252,1.899870148,0.9008602884,0.3193025524,-0.2941030784,0.05836878062
1642401142.645610589,-0.2385313166,-4.460094398,1.906622359,0.8352790639,0.4081761279,-0.3683763482,0.05321749202
1642401143.321498898,-0.2406169464,-4.45631287,1.931539308,0.9067776195,0.3188646921,-0.2758254104,0.05727146638
1642401143.806626391,-0.2372598773,-4.455451528,1.886715143,0.8921039919,0.3249029652,-0.3139881062,0.05467912218
1642401144.280817075,-0.2374356532,-4.454940677,1.888835824,0.9007397072,0.2559706027,-0.3509231119,0.055607744
1642401144.772890756,-0.2400289169,-4.465358274,1.904211267,-0.9855087969,0.1277398027,-0.1116017652,0.7321048462
1642401145.250812121,-0.2409216448,-4.450385804,1.903236369,0.8957413337,0.3399760091,-0.2864677579,0.06414703866
1642401145.624307771,-0.2411498893,-4.458549366,1.897238857,-0.9888195663,0.1059475549,-0.1049332212,0.7248081587
1642401147.083455365,-0.2355888816,-4.442378874,1.827005725,0.8859649188,0.3229547145,-0.3328158878,0.06999035801
1642401147.877287647,-0.2366065308,-4.447470094,1.849315584,0.9648187539,0.1245237155,-0.2315569397,0.06993747475
1642401148.453361767,-0.1703425275,-4.601406081,0.924433769,-0.9646892478,0.1960735907,-0.1758687074,0.2765554649
1642401148.917431269,-0.2365547257,-4.445105671,1.852676241,0.891680091,0.3818045611,-0.2431705009,0.07703670306
1642401149.417267566,-0.2369023589,-4.444100583,1.847624976,0.9281475182,0.2486628102,-0.2769638808,0.07128573015
1642401149.847235100,-0.2378356035,-4.445064093,1.854970566,0.9066456179,0.3162416826,-0.2792578049,0.0737630335
1642401150.180171369,-0.237671837,-4.446076061,1.837722882,-0.9876339024,0.1120194087,-0.1096855824,0.6665741851
1642401150.555194690,-0.2381837893,-4.446603495,1.844158314,0.8845225172,0.3500453288,-0.3083637209,0.08330217425
1642401151.147496678,-0.2364126316,-4.449477805,1.8046519,-0.9904765933,0.09660193784,-0.09810292378,0.658596371
1642401151.892126884,-0.2366873572,-4.447782692,1.812393277,0.8726293527,0.3268922257,-0.3628491224,0.07205963896
1642401152.220254118,-0.2373745194,-4.446822933,1.823330822,0.9112519747,0.3129692816,-0.2677126582,0.06920501332
1642401152.859433153,-0.2413571761,-4.44116175,1.862052497,0.9752232489,0.08707898012,-0.2033638761,0.06888855686
1642401153.653410365,-0.2454293655,-4.446795789,1.88657801,-0.9907600553,0.101673131,-0.08976127968,0.672777181
1642401154.087599340,-0.2421274414,-4.500728842,1.712570333,-0.9937770147,0.08026996341,-0.07722679557,0.6992912539
1642401154.415606860,-0.2428625388,-4.533548273,1.674023008,-0.994289351,0.07010617569,-0.08045999433,0.6856831036
1642401154.980959534,-0.2432957972,-4.53105884,1.669673619,0.939138167,0.1926201601,-0.2844590958,0.06226109708
1642401155.485837253,-0.2428120787,-4.533233072,1.667352561,0.8841881253,0.3475679726,-0.3121023285,0.06140240749
1642401156.405104953,-0.2342593658,-4.675670756,1.266651636,0.7834211177,0.3419379159,-0.5189699549,0.03528733998
1642401157.451859622,-0.23576286,-4.685488013,1.292184636,0.9572461311,-0.01434135297,-0.288918968,0.03319255472
1642401158.246088774,-0.2365492681,-4.668100165,1.362835197,0.9236048986,0.0100704447,-0.3832134881,0.02881466492
1642401158.856312000,-0.2367845921,-4.681458027,1.354810591,-0.9940684847,0.09046221932,-0.060369153,0.7104280978
1642401159.324816547,-0.2369338083,-4.658002236,1.410860396,0.7353378281,0.5426072282,-0.4060242289,0.05196656258
1642401159.872695926,-0.2348206463,-4.654923066,1.388785073,0.8875207811,0.265701183,-0.3764435476,0.03748468224
1642401160.309094631,-0.2357539405,-4.661610593,1.39169184,-0.9959412158,0.0720682345,-0.05391905208,0.7144727989
1642401161.051157086,-0.2360086567,-4.663752288,1.399228779,-0.9950344967,0.08557020981,-0.05083394197,0.7215973662
1642401162.059081265,-0.2348008526,-4.659232749,1.355540181,-0.9938581424,0.09742340592,-0.05248497731,0.7021768907
1642401162.404975462,-0.2346287438,-4.656691553,1.358499467,0.912353728,0.1846234321,-0.3654105409,0.04053170011
1642401162.888110988,-0.2343954647,-4.659817587,1.348783695,0.9416308459,0.04801544928,-0.3332054422,0.04439956189
1642401163.381289007,-0.2354456763,-4.657825277,1.371744569,0.8178518937,0.4561069634,-0.3508343168,0.05106545819
1642401164.058560952,-0.2347286219,-4.65747009,1.35468218,0.9423917825,-0.07659778018,-0.3256232614,0.03706529469
1642401164.533408766,-0.2331909777,-4.655997858,1.331717066,0.9498747064,-0.126501856,-0.2858939007,0.04124919898
1642401164.990014057,-0.2328882855,-4.656330039,1.346060736,0.7789386336,0.5256409075,-0.3419886569,0.04914593917
1642401166.056195075,-0.2233219718,-4.743289542,1.023477181,-0.9965599381,0.06740572894,-0.04821573887,0.7117407224
1642401167.060673409,-0.2246067113,-4.723529808,1.087130054,0.8619474871,0.269430429,-0.4294808184,0.03845633782
1642401167.529507433,-0.2256715056,-4.722407255,1.157370086,0.8693310584,0.2955261429,-0.3961411487,0.03684509221
1642401167.911261259,-0.2246675188,-4.713247436,1.142474417,0.9476404326,0.02876536569,-0.3180411359,0.04631064067
1642401168.436110232,-0.2248051411,-4.697902137,1.24446413,0.8799203229,0.247458056,-0.405591834,0.04167237625
